,Company,Indicator,CAGR 3 Yrs,CAGR 5 Yrs,TTM,Mar '25,Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,Mar '17,Mar '16,Mar '15
2483,Janus Corporation,Annual Reports, , ,,, ,,,,, , , ,,
2484,Tranway Technologies,Total Rev. Ann.,-15.2%,-2.4%, ,3.9,3.8,6.1,6.4,5.6,4.4,5.2,3.9,3.1,,
2485,Tranway Technologies,Operating Rev. Ann.,-14.8%,-2.4%, ,3.9,3.7,6,6.3,5.6,4.4,5.1,3.9,3.1,,
2486,Tranway Technologies,Other Income Ann.,-,-, ,0,0.1,0.1,0.1,0,0,0,,0,,
2487,Tranway Technologies,Operating Exp. Ann.,-,-, ,-,3.5,5.5,5.9,5.2,3.9,4.6,3.7,2.9,,
2488,Tranway Technologies,Operating Exp. Ann.,-,-, ,-,3.5,5.5,5.9,5.2,3.9,4.6,3.7,2.9,,
2489,Tranway Technologies,Operating Profit Ann.,-,-, ,-,0.2,0.5,0.4,0.4,0.5,0.5,0.3,0.2,,
2490,Tranway Technologies,OPM Ann. %,-,-, ,-,4.57%,7.93%,6.48%,6.57%,11.14%,9.49%,7.35%,5.69%,,
2491,Tranway Technologies,Total Exp. Ann.,-11.5%,0%, ,4.3,3.7,5.7,6.2,5.5,4.3,4.9,3.8,2.9,,
2492,Tranway Technologies,Other Exp. Ann.,18.6%,29%, ,2.5,2.3,3.3,1.5,0.9,0.7,0.7,0.5,0.2,,
2493,Tranway Technologies,Employee Exp. Ann.,-29.2%,-13.5%, ,1.6,1.2,2.2,4.5,4.3,3.3,3.8,3.1,2.7,,
2494,Tranway Technologies,Cost Of Power Purchased Ann.,-,-, ,,,,,,,,,,,
2495,Tranway Technologies,Cost Of Fuel Ann.,-,-, ,,,,,,,,,,,
2496,Tranway Technologies,EBITDA Ann.,-,-, ,-,0.2,0.5,0.5,0.4,0.5,0.5,0.3,0.2,,
