,Company,Indicator,CAGR 3 Yrs,CAGR 5 Yrs,Mar '25,Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,Mar '17,Mar '16,Mar '15
132,Novateor Research,Net Cash Flow Ann.,-,-22.2%,0.2,-0.1,0.2,-0.2,-0,0.7,,0,-0,,
133,Novateor Research,Cash Plus Cash Eqv. Begin Of Year Ann.,-47.7%,-,0.1,0.2,,0.7,0.7,0,0,,0,,
134,Novateor Research,Cash Plus Cash Eqv. End Of Year Ann.,-15.7%,-15.6%,0.3,0.1,0.2,0.5,0.7,0.7,0,0,,,
135,Transpact Enterprises,Cash from Operating Act. Ann.,-,-,-0.5,0.4,0,-0,0,-1.1,-0.1,-0.1,-0.1,-0.1,
136,Transpact Enterprises,PBT Ann.,-,-,,-0.1,-0.1,-0.2,-0.1,-0.4,-0.1,-0.1,-0.1,-0.1,
137,Transpact Enterprises,Interest Ann.,-,-,,,,,,,,,,,
138,Transpact Enterprises,Tax Ann.,-,-,,,,,0,0,0,,,,
139,Transpact Enterprises,Cash from Investing Act. Ann.,-,-,0.1,,,,,,-0.1,-0.1,-0.1,,
140,Transpact Enterprises,Cash from Financing Act. Ann.,-,-,,,-0,,0,1.1,0.1,0.3,0.1,0.1,
141,Transpact Enterprises,Net Cash Flow Ann.,-,-,-0.4,0.4,-0,-0,0,,-0.1,0.1,,,
142,Transpact Enterprises,Cash Plus Cash Eqv. Begin Of Year Ann.,58.7%,-,0.4,0,0,0.1,0,0,0.1,0,0,0,
143,Transpact Enterprises,Cash Plus Cash Eqv. End Of Year Ann.,-,-,0,0.4,0,0,0.1,0,0,0.1,0,0,
144,Alphalogic Techsys,Cash from Operating Act. Ann.,-,-,-1,3.5,-6.4,-4.4,2.4,-1.7,1.6,0.5,,,
145,Alphalogic Techsys,PBT Ann.,25.1%,10.8%,4.5,3.9,2.5,2.3,0.8,2.7,2.1,0.5,0.5,,
146,Alphalogic Techsys,Interest Ann.,-30.7%,0%,0.2,0.5,0.3,0.6,0.4,0.2,,,0,,
