,Company,Indicator,CAGR 3 Yrs,CAGR 5 Yrs,Mar '25,Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,Mar '17,Mar '16,Mar '15
65,Vishwaraj Sugar,Interest Ann.,2%,-3.8%,34.3,30.5,27.5,32.3,35.7,41.7,36.4,20.9,24.9,17.9,16.1
66,Vishwaraj Sugar,Tax Ann.,-,-,6,7.8,49,-13,3.9,-8.7,-6.3,3.4,4.4,6.4,0.5
67,Vishwaraj Sugar,Cash from Investing Act. Ann.,-,-,-82.6,-124.7,-18.4,-32.8,-8.5,-27.4,-18.5,-6.2,-45.2,-5.8,-49.9
68,Vishwaraj Sugar,Cash from Financing Act. Ann.,-,-,40.7,-22.4,-44.3,-38.1,-6.2,-15.7,-12.2,55.5,-55.5,7.5,33.5
69,Vishwaraj Sugar,Net Cash Flow Ann.,-,7.6%,8.5,-1.4,-10.6,-35.7,41.2,5.9,-5.6,-5.3,-38.9,31.7,9.1
70,Vishwaraj Sugar,Cash Plus Cash Eqv. Begin Of Year Ann.,-70.9%,-7.8%,1.2,2.6,13.2,48.9,7.7,1.8,7.5,12.7,51.7,19.9,10.8
71,Vishwaraj Sugar,Cash Plus Cash Eqv. End Of Year Ann.,-9.8%,4.7%,9.7,1.2,2.6,13.2,48.9,7.7,1.8,7.5,12.7,51.7,19.9
72,Gensol Engineering,Cash from Operating Act. Ann.,-,-,,-51.7,64.6,-14.1,7.4,-16.7,2.5,,,,
73,Gensol Engineering,PBT Ann.,210.7%,70.5%,,108,36,14.3,3.6,3.1,7.5,,,,
74,Gensol Engineering,Interest Ann.,326.1%,163%,,100.6,15.3,4.7,1.3,1.5,0.8,,,,
75,Gensol Engineering,Tax Ann.,280.3%,68.9%,,27.5,9.3,3.3,0.5,1,2,,,,
76,Gensol Engineering,Cash from Investing Act. Ann.,-,-,,-512,-617.4,-55.3,-1.9,-2.4,-0.7,,,,
77,Gensol Engineering,Cash from Financing Act. Ann.,-,-,,602.4,670.5,68.6,-3.2,21.3,-0.2,,,,
78,Gensol Engineering,Net Cash Flow Ann.,156.5%,91.7%,,38.8,117.7,-0.8,2.3,2.3,1.5,,,,
79,Gensol Engineering,Cash Plus Cash Eqv. Begin Of Year Ann.,163.8%,182%,,124.8,7.1,7.9,6.8,2.2,0.7,,,,
80,Gensol Engineering,Cash Plus Cash Eqv. End Of Year Ann.,162%,136.7%,,163.6,124.8,7.1,9.1,4.5,2.2,,,,
81,Goldkart Jewels,Cash from Operating Act. Ann.,157.1%,-,3.4,1.6,4.8,0.2,-1.1,-9.2,2,-8.7,1.1,2.1,0.6
82,Goldkart Jewels,PBT Ann.,258.3%,87.2%,4.6,1.3,1.8,0.1,0.2,0.2,0.5,0.4,0.1,0,0.1
83,Goldkart Jewels,Interest Ann.,0%,0%,1.5,1.8,1.8,1.5,1.4,1.5,1.5,1.2,0.8,1,1.2
84,Goldkart Jewels,Tax Ann.,-,67%,1.3,0.4,0.3,0,0.1,0.1,0.1,0.1,0,0,0
85,Goldkart Jewels,Cash from Investing Act. Ann.,-,-,-0.7,-0,-1.2,-0.1,-0,-0.1,,,,,-0.1
86,Goldkart Jewels,Cash from Financing Act. Ann.,-,-,-2.3,-1.4,-3.7,0.2,1.1,9.2,-2,8.7,-1,-2,-0.7
87,Goldkart Jewels,Net Cash Flow Ann.,0%,-,0.3,0.3,-0.1,0.3,-0,-0.1,0,-0,0.1,0.1,-0.2
88,Goldkart Jewels,Cash Plus Cash Eqv. Begin Of Year Ann.,81.7%,24.6%,0.6,0.3,0.4,0.1,0.1,0.2,0.2,0.2,0.2,0,0.2
89,Goldkart Jewels,Cash Plus Cash Eqv. End Of Year Ann.,14.5%,43.1%,0.6,0.6,0.3,0.4,0.1,0.1,0.2,0.2,0.2,0.2,0
90,Indian Railway Catering,Cash from Operating Act. Ann.,16.8%,15.5%,833.7,882.2,810.1,523.7,247.3,405.3,499,23.6,338.2,287.7,68.7
91,Indian Railway Catering,PBT Ann.,25.5%,18.7%,"1,757","1,496.3","1,354",889.5,260.9,745.4,478.6,339,331.5,308.7,213.1
92,Indian Railway Catering,Interest Ann.,15%,18.3%,16.9,18.6,16.1,11.1,8.2,7.3,2.4,2.9,2.5,0.1,0.1
93,Indian Railway Catering,Tax Ann.,25.1%,15.3%,442.3,385,348.1,225.8,71,216.8,170,119.5,116.8,120,83.1
94,Indian Railway Catering,Cash from Investing Act. Ann.,-,-,-239.5,-215.4,-315.1,-242.4,-452.9,12.2,-352.7,40.2,93.6,7,-45.8
95,Indian Railway Catering,Cash from Financing Act. Ann.,-,-,-909.8,-404.3,-434.4,-258.2,-46.8,-280.2,-179.4,-56.8,-136,-31.4,-16.9
96,Indian Railway Catering,Net Cash Flow Ann.,-,-,-315.6,262.5,60.6,23.2,-252.4,137.3,-33.1,7,295.9,263.3,6
97,Indian Railway Catering,Cash Plus Cash Eqv. Begin Of Year Ann.,26.1%,8.5%,691.3,428.9,368.2,345,597.4,460.1,493.2,486.1,190.3,354.6,349.8
98,Indian Railway Catering,Cash Plus Cash Eqv. End Of Year Ann.,0.7%,-8.9%,375.8,691.3,428.9,368.2,345,597.4,460.1,493.2,486.1,617.9,355.8
99,Galactico Corporate,Cash from Operating Act. Ann.,4%,-,8.1,-4.4,-0.9,7.2,2,-3.7,1.6,1.5,-1.2,,
100,Galactico Corporate,PBT Ann.,-9.1%,24.6%,1.8,1.5,1.8,2.4,1.8,0.6,1,1.2,0.4,,
101,Galactico Corporate,Interest Ann.,14.5%,8.4%,0.3,0.3,0.2,0.2,0.2,0.2,,,,,
