,Company,Issue type,LTP,Market Cap(in CR),Listing date,Issue size,Issue price,QIB subscription,HNI subscription,Retail subscription,Total subscription,Listing open,Listing close,Listing gain,Current gain
146,India Shelter Finance ,MainBoard,873.0,9422.7,20 Dec `23,1200.0 Cr,₹ 493,89.7x,28.5x,9.9x,36.7x,620.0,544.7,25.8%,77.1%
147,DOMS Industries,MainBoard,2469.9,14989.2,20 Dec `23,1200.0 Cr,₹ 790,116.0x,66.5x,69.7x,93.5x,1400.0,1326.0,77.2%,212.7%
148,Flair Writing,MainBoard,278.7,2937.4,01 Dec `23,593.0 Cr,₹ 304,115.6x,33.4x,13.0x,46.7x,501.0,450.9,64.8%,-8.3%
149,Gandhar Oil Refinery,MainBoard,171.8,1681.1,30 Nov `23,500.7 Cr,₹ 169,129.0x,62.2x,28.9x,64.1x,298.0,301.4,76.3%,1.6%
150,Tata Technologies,MainBoard,703.3,28530.7,30 Nov `23,3042.5 Cr,₹ 500,203.4x,62.1x,16.5x,69.4x,1200.0,1313.0,140.0%,40.7%
151,Fedbank Financial ,MainBoard,115.9,4322.5,30 Nov `23,1092.3 Cr,₹ 140,3.5x,1.4x,1.8x,2.2x,138.0,140.3,-1.4%,-17.2%
152,Indian Renewable,MainBoard,167.0,46911.4,29 Nov `23,2150.2 Cr,₹ 32,104.6x,24.2x,7.7x,38.8x,50.0,60.0,56.3%,421.8%
153,ASK Automotive,MainBoard,519.5,10242.5,15 Nov `23,833.9 Cr,₹ 282,142.4x,35.5x,5.7x,51.1x,303.3,310.1,7.5%,84.2%
154,Protean eGov Tech,MainBoard,830.3,3366.4,13 Nov `23,490.3 Cr,₹ 792,46.9x,31.6x,8.9x,23.9x,792.0,883.0,0.0%,4.8%
155,ESAF Small Finance,MainBoard,34.3,1768.1,10 Nov `23,463.0 Cr,₹ 60,173.5x,84.4x,17.0x,73.2x,71.0,69.0,18.3%,-42.8%
156,Honasa Consumer,MainBoard,296.0,9625.4,07 Nov `23,1701.4 Cr,₹ 324,11.5x,4.0x,1.4x,7.6x,330.0,337.1,1.9%,-8.6%
157,Cello World,MainBoard,645.8,14264.8,06 Nov `23,1900.0 Cr,₹ 648,108.6x,24.4x,3.1x,38.9x,829.0,791.7,27.9%,-0.3%
158,Blue Jet Healthcare,MainBoard,892.6,15483.5,01 Nov `23,840.3 Cr,₹ 346,13.7x,13.6x,2.2x,8.0x,380.0,413.3,9.8%,158.0%
159,IRM Energy,MainBoard,315.0,1293.4,26 Oct `23,545.4 Cr,₹ 505,44.7x,48.3x,9.3x,27.1x,477.3,473.1,-5.5%,-37.6%
160,Plaza Wires,MainBoard,60.9,266.3,12 Oct `23,71.3 Cr,₹ 54,42.8x,388.1x,374.8x,161.0x,76.0,80.2,40.7%,12.7%
161,Valiant Laboratories,MainBoard,116.2,504.8,06 Oct `23,152.5 Cr,₹ 140,20.8x,73.6x,16.1x,29.8x,162.2,170.3,15.8%,-17.0%
162,Updater Services,MainBoard,289.4,1937.3,04 Oct `23,640.0 Cr,₹ 300,4.5x,0.8x,1.4x,2.9x,285.0,283.9,-5.0%,-3.5%
163,Manoj Vaibhav Gems N,MainBoard,222.2,1085.6,03 Oct `23,270.2 Cr,₹ 215,1.1x,5.2x,1.7x,2.3x,215.0,215.5,0.0%,3.4%
164,JSW Infrastructure,MainBoard,305.6,64186.5,03 Oct `23,2800.0 Cr,₹ 119,57.1x,16.0x,10.3x,37.4x,143.0,157.3,20.2%,156.8%
165,Yatra Online,MainBoard,82.9,1301.0,28 Sep `23,775.0 Cr,₹ 142,2.0x,0.4x,2.1x,1.6x,127.5,135.9,-10.2%,-41.6%
166,Signatureglobal,MainBoard,1241.5,17444.4,27 Sep `23,730.0 Cr,₹ 385,12.7x,13.5x,6.8x,11.9x,444.0,458.6,15.3%,222.5%
167,Sai Silks Kalamandir,MainBoard,157.8,2420.6,27 Sep `23,1201.0 Cr,₹ 222,12.3x,2.5x,0.9x,4.4x,231.0,244.9,4.0%,-28.9%
168,Zaggle Prepaid Ocean,MainBoard,413.6,5552.0,22 Sep `23,563.4 Cr,₹ 164,16.7x,8.8x,5.9x,12.6x,164.0,158.3,0.0%,152.2%
169,Samhi Hotels,MainBoard,217.5,4811.2,22 Sep `23,1370.1 Cr,₹ 126,8.8x,1.2x,1.1x,5.3x,134.5,143.4,6.8%,72.6%
170,EMS,MainBoard,611.6,3396.3,21 Sep `23,321.2 Cr,₹ 211,153.0x,82.3x,29.8x,75.3x,282.1,279.9,33.7%,189.9%
171,R R Kabel,MainBoard,1347.2,15235.0,20 Sep `23,1964.0 Cr,₹ 1035,52.3x,13.2x,2.1x,18.7x,1180.0,1198.0,14.0%,30.2%
