,Company,Issue type,LTP,Market Cap(in CR),Listing date,Issue size,Issue price,QIB subscription,HNI subscription,Retail subscription,Total subscription,Listing open,Listing close,Listing gain,Current gain
0,DC Infotech and Comms,SME,276.4,391.9,27 Dec `19,10.8 Cr,₹ 45,-,1.4x,1.8x,1.6x,45.5,45.2,1.1%,514.2%
1,Ascom Leasing ,SME,86.0,100.8,06 Dec `19,6.3 Cr,₹ 30,-,1.9x,1.0x,1.5x,30.3,30.3,0.8%,330.3%
2,Mangalam Global ,SME,15.4,506.5,28 Nov `19,21.6 Cr,₹ 51,-,2.1x,0.5x,1.3x,53.0,51.5,3.9%,352.1%
3,Goblin,SME,18.2,25.2,16 Oct `19,15.2 Cr,₹ 52,-,1.9x,0.9x,1.4x,57.9,57.9,11.3%,-65.0%
4,Gensol Engineering,SME,54.2,205.8,15 Oct `19,17.9 Cr,₹ 83,-,2.3x,0.4x,1.3x,85.4,64.7,2.9%,161.0%
5,Goldkart Jewels,SME,213.0,357.5,15 Oct `19,4.5 Cr,₹ 10,-,1.7x,0.7x,1.2x,11.2,11.4,11.5%,2030.0%
6,Galactico Corporate ,SME,2.4,35.6,09 Oct `19,3.7 Cr,₹ 23,-,1.8x,0.6x,1.2x,23.2,0.9,0.9%,-91.2%
7,Misquita Engineering,SME,80.0,37.5,04 Oct `19,1.9 Cr,₹ 27,-,2.5x,0.7x,1.6x,27.9,29.2,3.1%,196.3%
8,Shiv Aum Steels,SME,302.0,410.7,01 Oct `19,15.8 Cr,₹ 44,-,2.3x,0.4x,1.3x,44.3,44.1,0.6%,586.4%
9,Novateor Research,SME,51.9,25.1,13 Sep `19,4.5 Cr,₹ 24,-,1.8x,0.7x,1.2x,24.0,24.1,0.0%,116.3%
10,Transpact Enterprises,SME,293.8,11.4,06 Sep `19,1.4 Cr,₹ 130,-,0.9x,1.4x,1.1x,132.5,131.0,1.9%,126.0%
11,Alphalogic Techsys,SME,105.4,659.9,06 Sep `19,6.2 Cr,₹ 84,-,2.0x,0.5x,1.2x,83.0,84.3,-1.2%,2300.9%
12,Wonder Electricals,SME,159.9,2142.5,01 Aug `19,19.8 Cr,₹ 89,-,2.2x,0.3x,1.3x,93.0,89.0,4.5%,2775.5%
13,SK Intl Export,SME,20.2,14.8,15 Jul `19,4.0 Cr,₹ 20,-,2.0x,0.5x,1.3x,19.2,20.0,-4.0%,0.9%
14,City Pulse Multiplex,SME,2119.8,2260.6,11 Jul `19,4.0 Cr,₹ 30,-,2.7x,3.3x,3.0x,28.5,29.6,-5.0%,6966.2%
15,AB Infrabuild,SME,171.0,1092.3,11 Jul `19,12.8 Cr,₹ 29,-,1.2x,0.7x,1.0x,29.0,29.1,0.0%,489.7%
16,Murae Organisor,SME,1.0,180.3,04 Jul `19,6.7 Cr,₹ 36,-,1.7x,1.5x,1.6x,36.0,36.0,0.0%,-46.1%
17,SBC Exports,SME,15.4,735.7,04 Jul `19,6.6 Cr,₹ 22,-,1.9x,0.8x,1.4x,22.0,1.2,0.0%,3053.1%
18,Anand Rayons,SME,293.0,615.5,02 Jul `19,12.7 Cr,₹ 27,-,1.9x,0.5x,1.2x,28.3,27.2,4.6%,985.2%
19,Parshva Enterprises,SME,254.7,259.5,01 Jul `19,3.6 Cr,₹ 45,-,1.6x,0.7x,1.2x,45.9,15.1,1.9%,466.0%
20,Suich Industries,SME,4.3,6.6,13 Jun `19,30.9 Cr,₹ 75,-,1.3x,1.5x,1.4x,68.5,71.3,-8.7%,-94.2%
21,Cian Healthcare,SME,4.2,10.4,23 May `19,37.9 Cr,₹ 61,-,1.9x,0.6x,1.3x,62.0,61.5,1.6%,-93.6%
22,Par Drugs & Chemicals,SME,96.5,118.7,16 May `19,8.5 Cr,₹ 51,-,3.5x,8.0x,5.7x,52.9,50.5,3.7%,89.1%
23,Artemis Electricals,SME,25.0,627.8,14 May `19,42.0 Cr,₹ 60,-,1.7x,0.5x,1.1x,70.0,69.8,16.7%,316.8%
24,Evans Electric,SME,190.4,104.5,13 May `19,1.9 Cr,₹ 52,-,2.6x,0.6x,1.6x,52.2,54.8,0.4%,1364.6%
25,White Organic Retail,SME,5.3,17.2,10 May `19,15.5 Cr,₹ 63,-,2.0x,0.7x,1.4x,64.2,10.7,1.9%,-91.7%
26,GKP Printing,SME,6.2,13.5,08 May `19,6.6 Cr,₹ 32,-,1.6x,1.6x,1.6x,34.2,17.5,6.9%,-80.8%
27,V R Films & Studios,SME,15.2,16.6,30 Apr `19,2.3 Cr,₹ 61,-,1.5x,1.6x,1.5x,62.0,60.0,1.6%,98.7%
28,Jinaams Dress,SME,2.4,5.3,25 Apr `19,42.5 Cr,₹ 59,-,1.3x,1.1x,1.2x,59.0,56.1,0.0%,-96.0%
29,KHFM Hospitality ,SME,82.0,171.1,12 Apr `19,10.6 Cr,₹ 36,-,1.3x,1.5x,1.3x,36.5,36.1,1.4%,127.6%
30,Osia Hyper Retail,SME,16.8,297.3,05 Apr `19,39.8 Cr,₹ 252,-,1.7x,0.6x,1.1x,255.0,267.6,1.2%,6.7%
31,Northern Spirits,SME,208.0,333.9,04 Apr `19,18.5 Cr,₹ 43,-,1.8x,0.8x,1.3x,43.7,43.1,1.6%,383.7%
32,Roopshri Resorts,SME,53.5,31.2,01 Apr `19,3.6 Cr,₹ 20,-,1.4x,0.8x,1.1x,20.3,20.3,1.3%,167.6%
33,Embassy Office Parks REIT,SME,391.0,37065.5,01 Apr `19,4750.0 Cr,₹ 300,2.1x,3.1x,-,2.6x,300.0,314.1,0.0%,30.3%
34,Artedz Fabs,SME,18.7,16.0,29 Mar `19,8.3 Cr,₹ 36,-,1.3x,1.8x,1.5x,40.0,41.6,11.1%,-48.1%
35,Humming Bird Edu,SME,90.6,55.6,28 Mar `19,2.1 Cr,₹ 132,-,1.9x,0.9x,1.4x,132.0,132.0,0.0%,586.6%
36,Ashapuri Ornament,SME,6.5,218.0,27 Mar `19,29.3 Cr,₹ 51,-,2.1x,0.3x,1.2x,50.0,51.0,-2.0%,28.2%
37,Aartech Solonics,SME,66.8,212.3,27 Mar `19,7.2 Cr,₹ 34,-,2.4x,1.6x,2.0x,34.0,23.1,-0.1%,783.9%
38,Mahip Industries,SME,3.4,6.6,12 Mar `19,16.6 Cr,₹ 32,-,1.5x,1.5x,1.5x,32.0,33.6,0.0%,-89.3%
39,Gleam Fabmat,SME,10.6,10.6,05 Mar `19,3.1 Cr,₹ 10,-,2.7x,0.8x,1.8x,9.0,8.6,-10.0%,6.1%
40,Kranti Industries,SME,89.8,114.6,28 Feb `19,8.6 Cr,₹ 37,-,1.3x,1.3x,1.3x,35.3,30.8,-4.7%,142.7%
41,Mindpool Tech,SME,74.1,31.4,28 Feb `19,3.6 Cr,₹ 30,-,2.5x,1.6x,2.1x,30.0,28.5,0.0%,147.0%
42,Jonjua Overseas,SME,10.0,23.1,25 Feb `19,1.3 Cr,₹ 10,-,0.8x,0.1x,0.5x,12.0,9.4,20.0%,67.2%
43,Anmol,SME,17.9,102.2,21 Feb `19,10.2 Cr,₹ 33,-,1.6x,1.6x,1.6x,33.6,34.1,1.8%,172.0%
44,Ritco Logistics,SME,294.0,832.7,07 Feb `19,48.2 Cr,₹ 73,-,1.8x,1.0x,1.4x,77.4,73.5,6.0%,302.7%
45,Surani Steel Tubes,SME,104.1,161.9,06 Feb `19,12.9 Cr,₹ 52,-,1.7x,1.2x,1.6x,53.1,53.3,2.1%,100.2%
46,Net Pix Shorts Digital ,SME,32.0,10.2,02 Dec `20,2.7 Cr,₹ 30,-,1.7x,1.9x,1.8x,30.1,30.1,0.5%,6.7%
47,Shine Fashions,SME,452.0,140.1,02 Nov `20,1.6 Cr,₹ 40,-,1.8x,1.6x,1.7x,40.5,39.5,1.3%,1030.0%
48,Bodhi Tree Multimedia,SME,8.5,153.1,21 Oct `20,3.7 Cr,₹ 95,-,1.4x,1.8x,1.6x,95.0,95.8,0.0%,346.3%
49,Sigma Solve,SME,377.0,387.5,19 Oct `20,5.0 Cr,₹ 45,-,1.1x,2.1x,1.6x,46.0,45.1,2.2%,1994.4%
50,Atal Realtech,SME,20.5,227.6,15 Oct `20,10.8 Cr,₹ 72,-,2.0x,0.4x,1.2x,70.2,66.7,-2.5%,327.1%
51,Likhitha Infra,SME,289.1,1140.3,15 Oct `20,61.2 Cr,₹ 120,22.0x,1.5x,23.7x,9.5x,130.0,136.5,8.3%,381.8%
52,G M Polyplast,SME,87.0,117.1,14 Oct `20,8.1 Cr,₹ 159,-,2.1x,1.1x,1.6x,160.0,167.5,0.6%,283.1%
53,AAA Technologies,SME,83.5,107.1,13 Oct `20,10.2 Cr,₹ 42,-,2.5x,2.3x,2.4x,44.5,43.6,6.0%,98.7%
54,Atam Valves,SME,106.9,122.5,06 Oct `20,4.5 Cr,₹ 40,-,2.5x,3.4x,2.9x,40.0,39.0,0.0%,434.5%
55,SecMark Consultancy,SME,157.9,164.4,01 Oct `20,15.0 Cr,₹ 135,-,1.1x,1.4x,1.2x,134.0,127.3,-0.7%,192.4%
56,Advait Infratech,SME,1771.9,1916.4,30 Sep `20,6.9 Cr,₹ 51,-,1.5x,2.3x,1.9x,52.0,51.5,1.9%,6848.6%
57,Trekkingtoes.com,SME,29.2,4.7,28 Aug `20,4.5 Cr,₹ 105,-,0.3x,2.8x,1.6x,105.0,99.8,0.0%,-72.2%
58,Suratwwala Business Group,SME,44.7,775.9,13 Aug `20,6.9 Cr,₹ 15,-,2.4x,0.3x,1.3x,15.4,16.2,3.0%,2882.7%
59,Mindspace REIT,SME,411.9,24423.5,12 Aug `20,4500.0 Cr,₹ 275,-,10.6x,15.5x,13.0x,302.0,303.7,9.8%,49.8%
60,Bonlon Industries,SME,39.8,56.4,11 Jul `20,10.5 Cr,₹ 28,-,2.5x,0.2x,1.4x,21.0,21.5,-25.0%,42.1%
61,Ksolves,SME,355.9,843.9,06 Jul `20,4.0 Cr,₹ 100,-,2.2x,0.6x,1.4x,102.0,106.9,1.9%,5594.4%
62,Billwin Industries,SME,28.4,11.8,30 Jun `20,2.5 Cr,₹ 37,-,2.1x,0.6x,1.4x,36.9,37.1,-0.3%,-23.4%
63,Nirmitee Robotics,SME,113.5,40.9,21 Apr `20,3.2 Cr,₹ 185,-,1.7x,0.6x,1.1x,189.0,189.0,2.2%,-38.6%
64,Laxmi Goldorna House,SME,781.9,1631.9,16 Apr `20,8.3 Cr,₹ 15,-,2.2x,0.2x,1.2x,15.0,15.0,0.0%,5112.3%
65,DJ Mediaprint & Logistics,SME,113.4,372.9,13 Apr `20,2.4 Cr,₹ 20,-,1.9x,1.7x,1.8x,20.6,20.8,3.0%,3305.4%
66,Cospower Engineering,SME,570.7,95.6,30 Mar `20,2.0 Cr,₹ 51,-,2.4x,0.7x,1.5x,51.0,53.1,0.0%,1019.0%
67,RO Jewels,SME,2.5,12.4,25 Mar `20,4.9 Cr,₹ 36,-,1.9x,0.4x,1.2x,36.0,36.0,0.0%,21.8%
68,SM Auto Stamping,SME,29.3,40.0,16 Mar `20,6.9 Cr,₹ 18,-,2.2x,0.5x,1.3x,18.0,18.0,0.0%,62.5%
69,Chandra Bhagat Pharma,SME,58.0,43.7,14 Feb `20,10.2 Cr,₹ 51,-,1.9x,1.4x,1.6x,51.7,51.8,1.4%,13.6%
70,ICL Organic Dairy ,SME,39.7,23.8,14 Feb `20,4.1 Cr,₹ 20,-,3.6x,2.6x,3.1x,20.8,21.8,4.0%,98.5%
71,Janus Corporation,SME,4.7,11.8,07 Feb `20,8.0 Cr,₹ 50,-,1.0x,1.5x,1.3x,50.7,48.5,1.4%,-78.0%
72,Tranway Technologies,SME,7.5,7.9,06 Feb `20,4.2 Cr,₹ 10,-,1.1x,2.9x,2.0x,11.1,11.7,11.0%,-25.0%
73,Hindprakash Industries,SME,147.1,168.1,27 Jan `20,11.5 Cr,₹ 40,-,3.0x,1.4x,2.2x,40.7,41.3,1.8%,267.8%
74,Gian Life Care,SME,14.7,15.2,13 Jan `20,3.1 Cr,₹ 22,-,1.9x,0.8x,1.3x,22.0,22.0,0.0%,-33.1%
75,Vaxtex Cotfab,SME,0.9,16.0,13 Jan `20,3.8 Cr,₹ 24,-,1.8x,4.0x,2.9x,24.1,24.8,0.4%,-39.6%
76,Valencia Nutrition,SME,61.7,104.7,06 Jan `20,7.2 Cr,₹ 46,-,2.5x,0.6x,1.6x,46.5,47.0,1.0%,34.1%
77,Vivo Collaboration ,SME,64.0,12.9,31 Dec `21,4.4 Cr,₹ 82,-,292.9x,273.1x,283.0x,355.1,337.4,333.1%,-21.9%
78,Brandbucket Media,SME,4.9,11.4,31 Dec `21,8.3 Cr,₹ 55,-,2.1x,1.0x,1.6x,51.0,52.5,-7.3%,-91.1%
79,Wherrelz IT Solutions,SME,242.9,9.5,29 Dec `21,2.0 Cr,₹ 171,-,1.6x,2.9x,2.3x,179.9,177.2,5.2%,42.0%
80,Clara Industries,SME,36.5,75.5,29 Dec `21,3.0 Cr,₹ 43,-,1.5x,1.6x,1.5x,45.7,44.0,6.3%,324.4%
81,Foce,SME,1951.0,954.6,28 Dec `21,29.0 Cr,₹ 225,-,1.3x,1.8x,1.6x,225.0,225.7,0.0%,767.1%
82,Euro Panel Products,SME,198.0,485.1,24 Dec `21,45.5 Cr,₹ 70,-,1.7x,1.9x,1.8x,70.0,71.4,0.0%,182.9%
83,Nupur Recyclers,SME,78.4,541.4,24 Dec `21,34.2 Cr,₹ 60,-,53.1x,34.2x,43.7x,74.0,77.7,23.3%,331.2%
84,DMR Hydroengineering,SME,138.0,55.0,07 Dec `21,2.1 Cr,₹ 21,-,8.5x,14.3x,11.4x,25.0,26.3,19.1%,557.1%
85,Omnipotent Industries,SME,8.7,5.2,29 Nov `21,18.9 Cr,₹ 63,-,1.0x,1.3x,1.2x,99.0,94.0,57.1%,-86.3%
86,Suyog Gurbaxani Funicular,SME,130.0,323.2,16 Nov `21,29.5 Cr,₹ 45,-,2.0x,0.6x,1.3x,45.1,45.1,0.3%,188.9%
87,Nidan Laboratories,SME,19.6,27.3,12 Nov `21,50.0 Cr,₹ 125,-,0.1x,3.4x,1.8x,123.9,117.8,-0.9%,-84.3%
88,Kotyark Industries,SME,284.1,292.0,02 Nov `21,11.3 Cr,₹ 51,-,3.6x,10.7x,7.2x,51.0,48.5,0.0%,457.0%
89,Dynamic Services ,SME,152.9,341.4,13 Oct `21,24.1 Cr,₹ 51,-,2.3x,1.6x,1.9x,53.0,53.5,3.9%,199.9%
90,Destiny Logistics & Infra,SME,97.8,150.4,13 Oct `21,5.4 Cr,₹ 20,-,2.1x,7.4x,4.8x,20.7,19.7,3.5%,388.8%
91,Samor Reality,SME,63.0,142.5,13 Oct `21,8.1 Cr,₹ 62,-,2.5x,0.9x,1.7x,62.6,62.5,1.0%,1.7%
92,CWD,SME,1120.3,404.6,13 Oct `21,18.0 Cr,₹ 180,-,1.9x,0.7x,1.3x,180.2,180.6,0.1%,522.4%
93,Adishakti Loha & Ispat,SME,15.7,7.2,13 Oct `21,2.0 Cr,₹ 11,-,2.9x,1.8x,0.8x,6.4,11.4,-41.8%,42.7%
94,Bombay Metrics Supply ,SME,49.0,60.3,12 Oct `21,4.3 Cr,₹ 93,-,16.3x,20.7x,18.5x,98.3,103.2,5.7%,321.3%
95,Promax Power,SME,29.0,72.5,12 Oct `21,1.6 Cr,₹ 10,-,2.4x,11.4x,6.9x,13.3,11.6,33.5%,480.0%
96,Shri Venkatesh Refineries,SME,196.2,433.9,11 Oct `21,11.7 Cr,₹ 40,-,2.4x,3.8x,3.1x,43.9,42.1,9.8%,880.8%
97,Jainam Ferro Alloys ,SME,275.0,322.1,08 Oct `21,19.6 Cr,₹ 70,-,6.2x,7.1x,6.7x,73.0,73.1,4.3%,292.9%
98,Getalong Enterprises,SME,13.9,27.8,08 Oct `21,5.2 Cr,₹ 69,-,2.1x,2.1x,2.1x,72.2,76.7,4.6%,101.5%
99,Quadpro ITeS,SME,3.7,18.7,30 Sep `21,14.1 Cr,₹ 20,-,8.7x,23.5x,16.1x,19.8,19.9,-1.0%,-63.0%
100,SBL Infratech,SME,37.5,3.0,28 Sep `21,2.4 Cr,₹ 111,-,0.8x,2.4x,1.6x,130.0,125.0,17.1%,-66.2%
101,Prevest Denpro,SME,580.0,696.2,27 Sep `21,26.6 Cr,₹ 84,5.8x,79.0x,32.9x,38.1x,180.6,189.6,114.9%,590.5%
102,Markolines Pavement,SME,155.4,342.1,27 Sep `21,40.0 Cr,₹ 78,-,2.8x,1.6x,2.2x,62.2,65.3,-20.3%,99.3%
103,BEW Engineering,SME,170.3,222.6,16 Sep `21,4.0 Cr,₹ 58,-,0.6x,6.7x,3.6x,127.6,133.9,120.0%,1074.5%
104,PlatinumOne Business,SME,130.0,20.6,16 Sep `21,3.9 Cr,₹ 92,-,3.3x,2.6x,3.0x,110.0,104.9,19.6%,41.3%
105,Naapbooks,SME,142.9,128.9,15 Sep `21,4.0 Cr,₹ 74,4.0x,0.6x,2.5x,1.6x,73.9,74.0,-0.1%,479.3%
106,Aashka Hospitals,SME,103.5,242.2,01 Sep `21,101.6 Cr,₹ 121,-,2.0x,0.8x,1.3x,76.5,115.0,-36.8%,-14.5%
107,DU Digital Global,SME,47.2,329.3,26 Aug `21,4.5 Cr,₹ 65,-,6.7x,39.3x,23.0x,60.0,63.0,-7.7%,1352.3%
108,Rex Pipes and Cables,SME,118.3,111.8,10 Aug `21,6.2 Cr,₹ 26,-,6.8x,41.1x,24.0x,26.7,26.8,2.7%,355.2%
109,Network People,SME,2083.7,4041.4,10 Aug `21,13.7 Cr,₹ 80,1.1x,10.4x,50.7x,22.4x,28.0,26.6,-65.0%,2504.6%
110,Gretex Corporate,SME,290.0,656.5,09 Aug `21,5.1 Cr,₹ 170,-,2.4x,12.2x,7.3x,177.0,180.6,4.1%,2817.5%
111,AA Plus Tradelink,SME,0.7,17.3,22 Jul `21,6.5 Cr,₹ 18,-,0.3x,2.6x,1.5x,16.6,17.5,-7.5%,-60.6%
112,Focus Business ,SME,145.0,66.8,13 Jul `21,1.2 Cr,₹ 19,-,3.2x,10.1x,6.7x,29.4,27.9,54.5%,1273.1%
113,Walpar Nutritions,SME,47.4,44.5,13 Jul `21,6.6 Cr,₹ 55,-,1.0x,17.9x,9.5x,60.0,57.0,9.0%,72.2%
114,Times Green Energy,SME,75.0,12.5,30 Jun `21,4.0 Cr,₹ 61,-,0.8x,5.0x,2.9x,61.4,61.6,0.7%,22.9%
115,Adeshwar Meditex,SME,18.0,26.0,28 Jun `21,9.8 Cr,₹ 25,-,1.5x,2.2x,1.9x,25.3,25.1,1.0%,-28.0%
116,Navoday Enterprises,SME,5.7,4.4,24 Jun `21,4.6 Cr,₹ 20,-,0.3x,4.4x,2.4x,19.5,18.6,-2.5%,-43.1%
117,Abhishek Integrations,SME,69.0,41.5,21 Jun `21,5.0 Cr,₹ 50,-,0.5x,20.5x,10.5x,40.0,38.0,-20.0%,38.0%
118,Kuberan Global Edu ,SME,35.1,7.4,05 May `21,1.1 Cr,₹ 20,-,1.4x,5.2x,3.3x,21.0,22.1,5.0%,75.7%
119,Jetmall Spices,SME,15.1,9.1,19 Apr `21,5.0 Cr,₹ 20,-,1.9x,0.8x,1.4x,20.5,19.5,2.5%,-24.4%
120,Rajeshwari Cans,SME,213.4,223.9,15 Apr `21,4.0 Cr,₹ 20,-,1.6x,1.2x,1.4x,20.8,20.0,3.8%,2034.0%
121,V-Marc,SME,410.5,1002.5,09 Apr `21,23.4 Cr,₹ 39,-,1.4x,1.8x,1.6x,46.5,47.1,19.2%,952.6%
122,Siddhika Coatings,SME,204.8,126.5,07 Apr `21,4.7 Cr,₹ 57,-,2.3x,2.9x,2.6x,55.0,57.0,-3.5%,618.4%
123,EKI Energy Services,SME,125.0,344.9,07 Apr `21,18.6 Cr,₹ 102,1.0x,10.3x,3.1x,4.0x,140.0,147.0,37.3%,22.5%
124,Niks Technology,SME,495.0,24.8,31 Mar `21,2.0 Cr,₹ 201,-,1.0x,7.2x,4.1x,202.1,203.0,0.6%,146.3%
125,Knowledge Marine Engg,SME,1597.3,1725.2,22 Mar `21,10.1 Cr,₹ 37,-,2.1x,3.6x,2.9x,38.0,38.3,2.7%,4217.0%
126,Adjia Technologies,SME,49.0,4.3,15 Mar `21,2.0 Cr,₹ 74,-,0.9x,5.2x,6.0x,64.1,74.3,-13.4%,-33.8%
127,Pavna Industries,SME,422.8,589.9,09 Mar `21,29.7 Cr,₹ 165,-,-,-,-,165.6,165.5,0.4%,156.2%
128,Party Cruisers,SME,80.0,95.3,05 Mar `21,7.8 Cr,₹ 51,-,0.3x,2.3x,1.3x,54.0,51.3,5.9%,213.5%
129,MRP Agro,SME,117.0,130.0,18 Feb `21,3.2 Cr,₹ 40,-,2.7x,4.2x,3.2x,39.8,37.8,-0.6%,778.1%
130,Moxsh Overseas Educon,SME,33.6,30.2,30 Dec `22,10.4 Cr,₹ 153,-,93.1x,107.6x,100.4x,131.0,127.8,-14.4%,-12.0%
131,Uma Converter,SME,26.4,53.4,29 Dec `22,18.4 Cr,₹ 33,-,15.5x,17.7x,16.6x,34.3,33.1,3.8%,-20.1%
132,Arihant Academy,SME,275.0,166.5,29 Dec `22,14.7 Cr,₹ 90,-,242.9x,228.6x,235.7x,120.1,126.1,33.4%,205.6%
133,Dollex Agrotech,SME,42.5,169.8,28 Dec `22,24.4 Cr,₹ 35,-,1.5x,2.3x,1.9x,30.0,31.5,-14.3%,21.4%
134,Droneacharya Aerial,SME,87.0,208.7,23 Dec `22,34.0 Cr,₹ 54,46.2x,287.8x,330.8x,243.7x,102.0,107.1,88.9%,61.1%
135,All e Technologies,SME,369.9,747.0,21 Dec `22,48.2 Cr,₹ 90,13.5x,237.1x,132.5x,88.7x,125.0,131.3,38.9%,311.0%
136,PNGS Gargi Jewellery,SME,900.5,932.7,20 Dec `22,7.8 Cr,₹ 30,-,213.2x,248.3x,230.7x,57.0,59.9,90.0%,2901.7%
137,Arham Technologies,SME,89.9,152.1,15 Dec `22,9.6 Cr,₹ 42,-,467.9x,442.8x,417.6x,60.0,63.0,42.9%,114.0%
138,Pritika Engineering,SME,85.0,224.1,08 Dec `22,9.4 Cr,₹ 29,-,144.3x,168.5x,156.4x,42.2,44.3,45.5%,486.2%
139,Baheti Recycling ,SME,608.0,630.4,08 Dec `22,12.4 Cr,₹ 45,-,259.2x,435.6x,347.5x,120.0,114.0,166.7%,1251.1%
140,Ambo Agritec,SME,90.0,101.7,02 Dec `22,10.2 Cr,₹ 30,-,323.5x,350.0x,336.8x,40.1,42.1,33.7%,200.0%
141,Anuroop Packaging,SME,18.7,20.7,21 Nov `22,2.6 Cr,₹ 13,-,3.8x,7.0x,5.4x,13.3,13.9,1.9%,43.9%
142,Technopack Polymers,SME,23.1,24.9,16 Nov `22,7.9 Cr,₹ 55,-,19.8x,19.8x,19.8x,74.0,77.7,34.5%,-16.0%
143,Amiable Logistic,SME,75.9,13.3,16 Nov `22,4.4 Cr,₹ 81,-,186.0x,281.7x,233.8x,129.9,136.4,60.4%,-6.3%
144,Vital Chemtech,SME,63.5,152.1,14 Nov `22,64.6 Cr,₹ 101,15.5x,204.1x,117.0x,79.3x,164.0,163.1,62.4%,-37.1%
145,DAPS Advertising,SME,24.6,12.7,14 Nov `22,5.1 Cr,₹ 30,-,83.2x,48.5x,65.8x,57.0,55.1,90.0%,-18.0%
146,Integrated Personnel,SME,273.9,235.8,11 Nov `22,12.7 Cr,₹ 59,-,14.7x,24.5x,19.6x,66.5,69.8,12.7%,364.3%
147,Rite Zone Chemcon,SME,22.9,9.7,11 Nov `22,9.0 Cr,₹ 75,-,2.4x,7.1x,4.7x,82.8,87.0,10.5%,-69.4%
148,Phantom Digital ,SME,306.0,418.6,21 Oct `22,29.1 Cr,₹ 95,14.8x,554.8x,207.0x,164.2x,300.0,312.7,215.8%,222.1%
149,Pace E-Commerce,SME,23.0,51.8,20 Oct `22,66.5 Cr,₹ 103,-,1.7x,0.6x,1.1x,104.5,109.7,1.5%,-77.7%
150,Maagh Advertising,SME,25.4,572.0,13 Oct `22,9.1 Cr,₹ 60,-,0.2x,0.3x,0.3x,62.3,65.4,3.8%,429.6%
151,Frog Cellsat,SME,239.7,372.2,13 Oct `22,41.6 Cr,₹ 102,5.4x,70.9x,22.1x,21.1x,177.0,185.8,73.5%,134.9%
152,Swastik Pipe,SME,32.6,75.7,12 Oct `22,62.5 Cr,₹ 100,-,1.4x,1.3x,1.4x,66.0,69.3,-34.0%,-67.4%
153,QMS Medical Allied ,SME,82.0,146.4,11 Oct `22,56.9 Cr,₹ 121,-,1.3x,0.5x,0.9x,128.0,134.4,5.8%,-32.2%
154,Lloyds Luxuries,SME,100.2,239.1,11 Oct `22,24.0 Cr,₹ 40,-,11.6x,1.8x,6.7x,45.1,42.9,12.9%,150.5%
155,Insolation Energy,SME,254.0,5596.7,10 Oct `22,22.2 Cr,₹ 36,-,150.0x,235.4x,192.7x,76.1,79.9,111.4%,6955.6%
156,Steelman Telecom,SME,139.8,135.3,10 Oct `22,26.0 Cr,₹ 96,7.8x,70.1x,22.8x,22.4x,161.0,169.1,67.7%,45.6%
157,Trident Lifeline,SME,270.0,310.5,10 Oct `22,35.3 Cr,₹ 101,-,1.7x,1.0x,1.3x,105.0,108.2,4.0%,167.3%
158,Cyber Media Research,SME,89.5,26.2,10 Oct `22,14.0 Cr,₹ 171,6.3x,62.6x,27.8x,22.3x,245.3,257.5,43.4%,-47.6%
159,Concord Control ,SME,1700.0,1016.9,10 Oct `22,8.3 Cr,₹ 53,15.2x,307.4x,423.7x,202.2x,110.0,115.4,107.5%,3107.6%
160,Cargotrans Maritime,SME,96.0,44.9,10 Oct `22,4.9 Cr,₹ 45,-,129.6x,166.6x,148.1x,70.0,73.5,55.6%,113.3%
161,Reetech International,SME,39.1,16.5,10 Oct `22,11.7 Cr,₹ 105,-,1.4x,1.9x,1.7x,82.0,83.6,-21.9%,-62.7%
162,Silicon Rental Solutions,SME,185.5,211.8,10 Oct `22,21.1 Cr,₹ 78,-,2.9x,2.9x,2.9x,80.0,84.0,2.6%,137.8%
163,Cargosol Logistics,SME,18.8,19.2,10 Oct `22,7.6 Cr,₹ 28,-,84.6x,26.0x,55.3x,42.4,44.5,51.4%,-32.8%
164,Containe Tech,SME,47.0,29.3,30 Sep `22,2.6 Cr,₹ 15,-,154.1x,76.2x,115.7x,22.0,23.1,46.7%,213.2%
165,Maks Energy Solutions,SME,35.1,24.3,28 Sep `22,4.0 Cr,₹ 20,-,36.2x,16.4x,26.3x,20.0,21.0,0.0%,75.5%
166,Kandarp Digi Smart ,SME,85.4,76.6,28 Sep `22,8.1 Cr,₹ 30,-,0.9x,2.8x,1.8x,30.0,28.5,0.0%,184.7%
167,Annapurna Swadisht,SME,276.9,604.2,27 Sep `22,30.3 Cr,₹ 68,18.3x,301.1x,225.5x,133.4x,120.0,126.0,76.5%,307.2%
168,Varanium Cloud,SME,4.1,17.3,27 Sep `22,36.6 Cr,₹ 122,-,5.8x,5.1x,5.5x,131.0,128.6,7.4%,-86.6%
169,Ishan International,SME,1.0,21.6,22 Sep `22,18.2 Cr,₹ 80,-,1.6x,1.6x,1.6x,82.0,82.8,2.5%,-62.5%
170,Tapi Fruit Processing,SME,72.8,31.1,22 Sep `22,5.2 Cr,₹ 48,-,1.9x,3.3x,2.6x,52.1,54.7,8.5%,51.8%
171,Sabar Flex,SME,5.5,9.5,21 Sep `22,4.5 Cr,₹ 11,-,116.5x,54.3x,85.4x,21.0,22.1,90.9%,-50.5%
172,Mega Flex Plastics,SME,55.0,61.1,19 Sep `22,11.4 Cr,₹ 40,-,52.8x,39.0x,45.9x,54.0,56.7,35.0%,37.6%
