,Company,Issue type,LTP,Market Cap(in CR),Listing date,Issue size,Issue price,QIB subscription,HNI subscription,Retail subscription,Total subscription,Listing open,Listing close,Listing gain,Current gain
607,AVP Infracon,SME,173.5,433.4,20 Mar `24,52.3 Cr,₹ 75,0.5x,57.5x,27.6x,18.5x,79.0,75.0,5.3%,131.3%
608,Signoria Creation,SME,107.0,50.9,19 Mar `24,9.3 Cr,₹ 65,41.9x,1962.0x,888.2x,626.1x,131.0,137.6,101.5%,64.6%
609,Royal Sense,SME,239.4,128.1,19 Mar `24,9.9 Cr,₹ 68,-,8.9x,6.5x,7.7x,129.2,122.7,90.0%,252.1%
610,Pratham EPC Projects,SME,144.0,262.3,18 Mar `24,36.0 Cr,₹ 75,37.3x,426.6x,238.5x,166.1x,113.3,119.0,51.1%,92.0%
611,Pune E-Stock Broking,SME,204.0,319.3,15 Mar `24,38.2 Cr,₹ 83,123.0x,357.5x,338.9x,296.6x,130.0,133.2,56.6%,145.8%
612,Shree Karni Fabcom,SME,602.0,435.2,14 Mar `24,42.5 Cr,₹ 227,60.0x,614.0x,439.1x,275.8x,260.0,273.0,14.5%,165.2%
613,Koura Fine Jewelry,SME,43.8,15.8,14 Mar `24,5.5 Cr,₹ 55,-,353.3x,1010.3x,681.8x,75.0,78.6,36.4%,-20.4%
614,Sona Machinery,SME,78.0,107.0,13 Mar `24,51.8 Cr,₹ 143,68.9x,737.7x,312.2x,254.4x,125.0,131.3,-12.6%,-45.5%
615,V R Infraspace,SME,177.0,157.2,12 Mar `24,20.4 Cr,₹ 85,-,81.3x,91.2x,86.3x,90.0,87.4,5.9%,108.2%
616,MVK Agro Food ,SME,170.3,263.7,07 Mar `24,65.9 Cr,₹ 120,-,3.8x,12.5x,8.1x,79.0,83.0,-34.2%,41.9%
617,Purv Flexipack,SME,75.0,157.4,05 Mar `24,40.2 Cr,₹ 71,79.9x,938.9x,589.1x,386.9x,260.0,247.0,266.2%,5.6%
618,Owais Metal & Mineral,SME,584.0,1061.8,04 Mar `24,42.7 Cr,₹ 87,47.5x,428.1x,339.9x,206.9x,250.0,262.5,187.4%,571.2%
619,Sadhav Shipping,SME,108.5,155.7,01 Mar `24,38.2 Cr,₹ 95,-,175.7x,65.8x,120.7x,135.0,141.8,42.1%,14.2%
620,Zenith Drugs,SME,75.0,128.6,27 Feb `24,40.7 Cr,₹ 79,35.6x,309.0x,116.2x,104.8x,110.0,105.2,39.2%,-5.1%
621,Deem Roll-Tech,SME,60.5,50.4,27 Feb `24,29.3 Cr,₹ 129,-,296.4x,171.4x,233.9x,200.0,209.7,55.0%,-53.1%
622,Kalahridhaan Trendz,SME,8.2,14.0,23 Feb `24,22.5 Cr,₹ 45,-,6.5x,9.8x,8.2x,47.1,49.5,4.8%,-81.9%
623,Thaai Casting,SME,109.0,252.1,23 Feb `24,47.2 Cr,₹ 77,76.0x,960.4x,467.9x,345.9x,185.9,195.2,141.4%,41.6%
624,Interiors & More,SME,500.0,349.8,23 Feb `24,42.0 Cr,₹ 227,1.9x,40.8x,10.5x,10.8x,270.0,283.5,18.9%,120.3%
625,Esconet Technologies,SME,215.1,281.7,23 Feb `24,28.2 Cr,₹ 84,82.6x,1151.4x,734.8x,471.2x,290.0,275.5,245.2%,156.1%
