,Company,Indicator,CAGR 3 Yrs,CAGR 5 Yrs,Mar '25,Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,Mar '17,Mar '16,Mar '15
13269,Asarfi Hospital,Asset Turnover Ann. %,-14.9%,,0.8,0.7,0.9,1.3,-,,,,,,
13270,Asarfi Hospital,Liquidity Ratio, ,, , , , , ,,,,,,
13271,Asarfi Hospital,Current Ratio Ann.,-2.3%,,1.4,1.1,1.9,1.5,1.1,,,,,,
13272,Asarfi Hospital,Quick Ratio Ann.,0%,,1.4,1.1,1.8,1.4,1,,,,,,
13273,Asarfi Hospital,Dividend Payout to NP Ann.,-,,-,-,-,-,-,,,,,,
13274,Asarfi Hospital,Earning Retention Ann. %,-,,-,,,,,,,,,,
13275,Asarfi Hospital,Cash Earning Retention Ann. %,-,,-,,,,,,,,,,
13276,Asarfi Hospital,Cash Earning Retention Ann. %,-,,-,,,,,,,,,,
13277,Asarfi Hospital,Valuation Ratio, ,, , , , , ,,,,,,
13278,Asarfi Hospital,EnterpriseValue Ann.,-,,210.3,143,,,,,,,,,
13279,Asarfi Hospital,EV Per Net Sales Ann.,-,,1.7,1.7,-,-,-,,,,,,
13280,Asarfi Hospital,,-,,2,1.8,-,-,-,,,,,,
13281,Asarfi Hospital,EV Per EBITDA Ann.,-,,6.7,8.1,-,-,-,,,,,,
13282,Asarfi Hospital,Market Cap Per Sales Ann.,-,,1.4,1.5,-,-,-,,,,,,
13283,Asarfi Hospital,Retention Ratio Ann. %,-,,-,,,,,,,,,,
13284,Asarfi Hospital,Earnings Yield Ann.,-,,0.1,0,,,,,,,,,
13285,Asarfi Hospital,Total Debt to Total Equity Ann.,6.3%,,0.6,0.5,0.4,0.5,0.4,,,,,,
13286,Utkarsh Small Finance,BVSH Ann.,15.3%,15%,27,27,22.3,17.6,16.1,13.4,10.5,8.8,10.2,,
13287,Utkarsh Small Finance,RoA Ann. %,-41.5%,-47.4%,0.08%,2.08%,2.11%,0.40%,0.92%,1.98%,1.50%,-1.39%,0.18%,,
